SL,Age,gender,PS/SD,Crime_Location,Crime_date,Crime_time,Allegation
351,33,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
352,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
353,54,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
354,72,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
355,52,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
356,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
357,47,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
358,44,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
359,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
360,58,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
361,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
362,46,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
363,65,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
364,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
365,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
366,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
367,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
368,60,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
369,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
370,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
371,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
372,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
373,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
374,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
375,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
376,52,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
377,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
378,38,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
379,32,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
380,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
381,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
382,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
383,40,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
384,52,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
385,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
386,46,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
387,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
388,40,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
389,35,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
390,37,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
391,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
392,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
393,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
394,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
395,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
396,54,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
397,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
398,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
399,38,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
400,36,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
401,38,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
402,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
403,32,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
404,52,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
405,32,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
406,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
407,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
408,40,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
409,52,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
410,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
411,38,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
412,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
413,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
414,38,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
415,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
416,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
417,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
418,65,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
419,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
420,35,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
421,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
422,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
423,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
424,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
425,46,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
426,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
427,32,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
428,52,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
429,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
430,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
431,35,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
432,40,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
433,35,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
434,35,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
435,35,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
436,60,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
437,40,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
438,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
439,35,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
440,44,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
441,38,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
442,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
443,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
444,60,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
445,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
446,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
447,26,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
448,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
449,40,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
450,65,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
451,38,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
452,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
453,38,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
454,35,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
455,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
456,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
457,35,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
458,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
459,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
460,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
461,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
462,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
463,40,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
464,39,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
465,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
466,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
467,46,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
468,47,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
469,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
470,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
471,60,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
472,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
473,40,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
474,46,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
475,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
476,28,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
477,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
478,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
479,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
480,38,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
481,40,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
482,35,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
483,32,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
484,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
485,47,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
486,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
487,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
488,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
489,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
490,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
491,40,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
492,38,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
493,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
494,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
495,60,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
496,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
497,44,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
498,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
499,47,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
500,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
501,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
502,77,female,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
503,73,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
504,72,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
505,52,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
506,63,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
507,33,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
508,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
509,54,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
510,72,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
511,52,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
512,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
513,47,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
514,44,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
515,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
516,58,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
517,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
518,46,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
519,65,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
520,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
521,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
522,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
523,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
524,60,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
525,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
526,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
527,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
528,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
529,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
530,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
531,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
532,52,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
533,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
534,38,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
535,32,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
536,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
537,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
538,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
539,40,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
540,52,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
541,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
542,46,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
543,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
544,40,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
545,35,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
546,37,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
547,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
548,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
549,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
550,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
551,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
552,54,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
553,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
554,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
555,38,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
556,36,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
557,38,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
558,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
559,32,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
560,52,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
561,32,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
562,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
563,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
564,40,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
565,52,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
566,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
567,38,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
568,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
569,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
570,38,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
571,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
572,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
573,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
574,65,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
575,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
576,35,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
577,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
578,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
579,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
580,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
581,46,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
582,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
583,32,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
584,52,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
585,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
586,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
587,35,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
588,40,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
589,35,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
590,35,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
591,35,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
592,60,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
593,40,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
594,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
595,35,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
596,44,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
597,38,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
598,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
599,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
600,60,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
601,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
602,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
603,26,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
604,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
605,40,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
606,65,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
607,38,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
608,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
609,38,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
610,35,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
611,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
612,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
613,35,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
614,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
615,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
616,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
617,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
618,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
619,40,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
620,39,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
621,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
622,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
623,46,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
624,47,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
625,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
626,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
627,60,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
628,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
629,40,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
630,46,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
631,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
632,28,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
633,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
634,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
635,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
636,38,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
637,40,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
638,35,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
639,32,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
640,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
641,47,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
642,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
643,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
644,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
645,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
646,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
647,40,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
648,38,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
649,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
650,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
651,60,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
652,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
653,44,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
654,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
655,47,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
656,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
657,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,ordered to murder 
658,77,female,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,mob attack 
659,73,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,mob attack 
660,72,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,mob attack 
661,52,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,mob attack 
662,63,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,mob attack 
663,33,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,mob attack 
664,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,mob attack 
665,54,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,mob attack 
666,72,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,mob attack 
667,52,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,mob attack 
668,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,mob attack 
669,47,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,mob attack 
670,44,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,mob attack 
671,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,mob attack 
672,58,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,mob attack 
673,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,mob attack 
674,46,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,mob attack 
675,65,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,mob attack 
676,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,mob attack 
677,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,mob attack 
678,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,mob attack 
679,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,mob attack 
